,Correlation Coefficient,Fold number,Correlation metric
0,0.7750965708242007,1,Pearsons-r
1,0.5565277629534641,1,Kendalls-tau
2,0.5977007460545097,1,MAE/MAD
3,0.6594032625236547,2,Pearsons-r
4,0.5129643412968151,2,Kendalls-tau
5,0.7180136046301402,2,MAE/MAD
6,0.7747161926469296,3,Pearsons-r
7,0.6075382349815353,3,Kendalls-tau
8,0.5878123685591795,3,MAE/MAD
9,0.7153489836185508,4,Pearsons-r
10,0.49530491315381,4,Kendalls-tau
11,0.6712769441159073,4,MAE/MAD
12,0.777641800402853,5,Pearsons-r
13,0.5956702180679952,5,Kendalls-tau
14,0.6108898131605809,5,MAE/MAD
